iter	Logloss
0	0.6773517952
1	0.6600466128
2	0.6437100867
3	0.6318889169
4	0.6203611396
5	0.6099915543
6	0.6002457424
7	0.5915609031
8	0.5838537156
9	0.5780550718
10	0.567082379
11	0.5596976168
12	0.5541212721
13	0.5460002133
14	0.5396798297
15	0.5331410307
16	0.5257289965
17	0.5231551649
18	0.519076293
19	0.5144028327
20	0.5097779038
21	0.5050993698
22	0.5000535118
23	0.4927923026
24	0.4865360857
25	0.4805537091
26	0.4755574139
27	0.4706059093
28	0.4660388519
29	0.4633564222
30	0.4592116655
31	0.4544741641
32	0.4507993457
33	0.4463379913
34	0.442633749
35	0.4397638675
36	0.4371491001
37	0.4326380996
38	0.4301176676
39	0.4249414176
40	0.4217111104
41	0.4188375257
42	0.413827509
43	0.4105825826
44	0.4067202628
45	0.4032946154
46	0.4008583098
47	0.3976593163
48	0.3948488469
49	0.3898291139
50	0.3860492289
51	0.382199941
52	0.3780530635
53	0.3751061639
54	0.3732871525
55	0.3704358395
56	0.3677177172
57	0.3631660141
58	0.3575789589
59	0.3537267617
60	0.3494191637
61	0.3454643426
62	0.3438747641
63	0.3413924976
64	0.3389080363
65	0.3351554374
66	0.3314021373
67	0.3286992255
68	0.3257770371
69	0.3223833407
70	0.3193318968
71	0.317718038
72	0.3159167715
73	0.3136405727
74	0.3095948569
75	0.304201571
76	0.3031028542
77	0.2995289559
78	0.2966971502
79	0.2939843447
80	0.2904119562
81	0.2879233867
82	0.2852789778
83	0.2815687206
84	0.2801539005
85	0.2784404938
86	0.2766405874
87	0.2735458606
88	0.2697001423
89	0.2667837697
90	0.2639247551
91	0.2617501844
92	0.2588325246
93	0.2582429783
94	0.2576597866
95	0.2550451012
96	0.2521532647
97	0.2499075597
98	0.2465152813
99	0.243588747
100	0.2406898158
101	0.2379873919
102	0.2347135119
103	0.231736515
104	0.2295734009
105	0.2281069708
106	0.2260014839
107	0.2231930172
108	0.2203699315
109	0.217742213
110	0.2153527451
111	0.2129554134
112	0.2109428293
113	0.2096599031
114	0.2083342277
115	0.2063566506
116	0.2039682418
117	0.2020122057
118	0.1991113159
119	0.1979050052
120	0.1952071399
121	0.1929180456
122	0.191401407
123	0.190064744
124	0.1873868032
125	0.1853648466
126	0.1837997953
127	0.1820799327
128	0.180507123
129	0.1792070502
130	0.177911339
131	0.1766028915
132	0.1748679219
133	0.1731324499
134	0.1716552407
135	0.169491995
136	0.1680888168
137	0.1675373457
138	0.1657414637
139	0.1636467686
140	0.1623715775
141	0.160805908
142	0.1597787966
143	0.1587636911
144	0.157308288
145	0.1559615836
146	0.1551547484
147	0.1538523431
148	0.1523626342
149	0.1511110323
150	0.1503282675
151	0.1490523575
152	0.147349954
153	0.1466311019
154	0.1461889881
155	0.1448933118
156	0.1436935237
157	0.1421303016
158	0.1410281327
159	0.1408219896
160	0.1395577213
161	0.1385931088
162	0.1375161401
163	0.1367808683
164	0.135887765
165	0.1348798529
166	0.133992958
167	0.1335130996
168	0.1324834432
169	0.1317335699
170	0.1305992017
171	0.1284295967
172	0.1275244865
173	0.1263518846
174	0.1250291264
175	0.124189031
176	0.1239763742
177	0.1231795816
178	0.1221341356
179	0.1213534316
180	0.1205072936
181	0.1193210413
182	0.1188380851
183	0.1178758755
184	0.1171964932
185	0.1167353866
186	0.1159661578
187	0.114772733
188	0.1136421102
189	0.1128913941
190	0.1117931867
191	0.111249959
192	0.1100736612
193	0.1094199594
194	0.1086432406
195	0.1078744187
196	0.1072159157
197	0.1067476856
198	0.1058071771
199	0.1044877824
